,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_income,log10_income
0,LP001002,1,0,0.0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,3.7670816213633223
1,LP001003,1,2,1.0,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,3.7846885995014214
2,LP001005,1,2,0.0,0,2,3000,0.0,66.0,360.0,1.0,2,1,3000.0,3.4771212547196626
3,LP001006,1,2,0.0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,3.6938148538894167
4,LP001008,1,0,0.0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,3.7781512503836434
5,LP001011,1,2,2.0,0,2,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,3.9828589423120753
6,LP001013,1,2,0.0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,3.585347911094591
7,LP001014,1,2,3.0,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,3.74350976472843
8,LP001018,1,2,2.0,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,3.742882171437273
9,LP001020,1,2,1.0,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,4.376741155018397
10,LP001024,1,2,2.0,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,3.591064607026499
11,LP001027,1,2,2.0,0,1,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,3.637489729512511
12,LP001028,1,2,2.0,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,4.0484029561527395
13,LP001029,1,0,0.0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,3.6714505542124947
14,LP001030,1,2,2.0,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,3.3774883833761327
15,LP001032,1,0,0.0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,3.694605198933569
16,LP001034,1,0,1.0,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,3.5558196830611912
17,LP001036,0,0,0.0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,3.545307116465824
18,LP001038,1,2,0.0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,3.689042339028172
19,LP001041,1,2,0.0,0,1,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,3.785329835010767
20,LP001043,1,2,0.0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,3.884228769632604
21,LP001046,1,2,1.0,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,4.063708559391418
22,LP001047,1,2,0.0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,3.6542728270977105
23,LP001050,2,2,2.0,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,3.722798396870905
24,LP001052,1,2,1.0,0,1,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,3.8222988712623662
25,LP001066,1,2,0.0,0,2,9560,0.0,191.0,360.0,1.0,1,1,9560.0,3.9804578922761
26,LP001068,1,2,0.0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,3.703463341883293
27,LP001073,1,2,2.0,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,3.7214808547700495
28,LP001086,1,0,0.0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,3.15896526038341
29,LP001087,0,0,2.0,0,1,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,3.7658919764300154
30,LP001091,1,2,1.0,0,1,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,3.877083256650651
31,LP001095,1,0,0.0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,3.500648063371912
32,LP001097,1,0,1.0,0,2,4692,0.0,106.0,360.0,1.0,0,0,4692.0,3.671358003443492
33,LP001098,1,2,0.0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,3.7132384615456617
34,LP001100,1,0,3.0,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,4.190331698170292
35,LP001106,1,2,0.0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,3.637689819118401
36,LP001109,1,2,0.0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,3.499412125672275
37,LP001112,0,2,0.0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,3.709778601848225
38,LP001114,1,0,0.0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,4.055989583385691
39,LP001116,1,0,0.0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,3.733678655677088
40,LP001119,1,0,0.0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,3.5563025007672873
41,LP001120,1,0,0.0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,3.478999131673357
42,LP001123,1,2,0.0,0,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,3.380211241711606
43,LP001131,1,2,0.0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,3.7977521286507105
